sub #1, ccw
1478, 943
2385, 939
2378, 170
1475, 173
sub #1, circular
1477, 945
1629, 929
1779, 898
1932, 835
2081, 745
2232, 528
2380, 186
sub #1, point
1477, 941
1629, 933
1781, 915
1932, 898
2083, 862
2234, 800
2383, 734

sub #2, ccw
1484, 939
2390, 934
2385, 162
1481, 166
sub #2, circular
1482, 940
1636, 923
1784, 876
1935, 815
2086, 723
2237, 533
2386, 289
sub#2, point
1482, 939
1635, 928
1787, 906
1937, 881
2089, 833
2238, 776
2388, 682


sub #3, ccw
1424, 921
2331, 922
2329, 148
1423, 152
sub #3, circular
1425, 921
1572, 909
1726, 885
1877, 815
2028, 729
2179, 600
2329, 375
sub #3, point
1426, 922
1574, 918
1726, 908
1878, 866
2029, 822
2178, 769
2330, 677

sub #4, ccw
1492, 922
2399, 922
2395, 144
1491, 148
sub #4, circular
1491, 921
1645, 897
1794, 855
1945, 827
2096, 730
2247, 578
2397, 390
sub #4, point
1493, 920
1643, 912
1796, 888
1946, 861
2097, 829
2248, 804
2397, 746
